id,name,start_date,end_date,created_at,updated_at
1,"Magistrate","2023-03-30",,"2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
2,"Advisory Committee Member - Magistrate","2023-03-30",,"2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
3,"Advisory Committee Member - Non Magistrate","2023-03-30",,"2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
4,"Chairman of the Advisory Committee","2023-03-30",,"2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
9,"Adjudicator","2023-03-30",,"2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
10,"Appointed Person","2023-03-30",,"2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
11,"Arbitrator","2023-03-30",,"2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
12,"Assistant Judge Advocate General","2023-03-30",,"2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
13,"Chairman","2023-03-30",,"2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
14,"Chancellor of the High Court","2023-03-30",,"2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
15,"Chief Commissioner","2023-03-30",,"2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
16,"Chief Master","2023-03-30",,"2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
18,"Chief Registrar","2023-03-30",,"2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
19,"Circuit Judge","2023-03-30",,"2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
20,"Court of Appeal Judge","2023-03-30",,"2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
21,"Court of Appeal Judge- Sitting in Retirement","2023-03-30","2023-11-21","2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
22,"Common Serjeant","2023-03-30",,"2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
23,"Costs Judge","2023-03-30",,"2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
24,"Deputy District Judge- Fee-Paid","2023-03-30",,"2023-05-19T11:18:44Z","2024-10-22T00:00:12Z"
25,"Deputy District Judge- Sitting in Retirement","2023-03-30","2023-11-21","2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
26,"Deputy District Judge (MC)- Fee paid","2023-03-30",,"2023-05-19T11:18:44Z","2024-04-18T00:02:13Z"
27,"Deputy District Judge (MC)- Sitting in Retirement","2023-03-30","2023-11-21","2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
28,"Tribunal Member Dentist","2023-03-30",,"2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
29,"Deputy Chairman","2023-03-30",,"2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
30,"Deputy Circuit Judge","2023-03-30",,"2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
31,"Deputy Costs Judge","2023-03-30",,"2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
32,"Deputy Chamber President","2023-03-30",,"2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
33,"Deputy High Court Judge","2023-03-30",,"2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
34,"Deputy Judge Advocate General","2023-03-30",,"2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
35,"Deputy President","2023-03-30",,"2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
38,"Deputy Regional Judge","2023-03-30",,"2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
39,"Deputy Regional Valuer","2023-03-30",,"2023-05-19T11:18:44Z","2023-12-21T00:02:02Z"
