id,name,salaried,start_date,end_date,created_at,updated_at
 ,"Salaried",1,"2023-03-30",,"2023-05-19T11:18:41Z","2023-12-21T00:02:00Z"
1,"Fee-paid",,"2023-03-30",,"2023-05-19T11:18:41Z","2023-12-21T00:02:00Z"
2,"Voluntary",,"2023-03-30",,"2023-05-19T11:18:41Z","2023-12-21T00:02:00Z"
3,"Unknown",,"2023-03-29","2023-03-29","2023-05-19T11:18:41Z","2023-12-21T00:02:00Z"
5,"SPTW-50%",1,"2023-03-30",,"2023-05-19T11:18:41Z","2023-12-21T00:02:00Z"
6,"SPTW-60%",1,"2023-03-30",,"2023-05-19T11:18:41Z","2023-12-21T00:02:00Z"
7,"SPTW-70%",1,"2023-03-30",,"2023-05-19T11:18:41Z","2023-12-21T00:02:00Z"
8,"SPTW-80%",1,"2023-03-30",,"2023-05-19T11:18:41Z","2023-12-21T00:02:00Z"
9,"SPTW-90%",1,"2023-03-30",,"2023-05-19T11:18:41Z","2023-12-21T00:02:00Z"
11,"SPTW-75%",1,"2023-03-29","2023-03-29","2023-05-19T11:18:41Z","2023-12-21T00:02:00Z"
12,"SPTW-40%",1,"2023-03-30",,"2023-05-19T11:18:41Z","2023-12-21T00:02:00Z"
13,"SPTW-20%",1,"2023-03-30",,"2023-05-19T11:18:41Z","2023-12-21T00:02:00Z"
14,"SPTW-30%",1,"2023-03-30",,"2023-05-19T11:18:41Z","2023-12-21T00:02:00Z"
100,"SPTW-10%",1,"2023-03-30",,"2023-05-19T11:18:41Z","2023-12-21T00:02:00Z"
