id,name,start_date,end_date,created_at,updated_at
90000,"District Tribunal Judge","2023-03-30",,"2023-09-09T00:02:20Z","2023-12-21T00:02:04Z"
90001,"Designated Civil Judge","2023-03-30",,"2023-09-09T00:02:20Z","2023-12-21T00:02:04Z"
90002,"Mentor Judge","2023-03-30",,"2023-09-09T00:02:19Z","2023-12-21T00:02:04Z"
90003,"Resident Judge","2023-03-30",,"2023-09-09T00:02:20Z","2023-12-21T00:02:04Z"
90004,"Acting Regional Employment Judge","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90005,"Appraisal Coordinator","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90006,"Assistant Resident Judge","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90007,"Bench Chairman Course Director (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90008,"Business & Property Courts Supervising","2023-03-30","2023-07-04","2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90009,"Deputy Chairman – Advisory Committee","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90010,"Designated Immigration Judge","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90011,"Diversity and Community Relations Judges","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90012,"Appraisal Judge","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90013,"Bench Chair","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90014,"Bench Chairman Course Trainer (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90015,"Boundary Commission for England – Deputy Chair","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90016,"Business & Property Courts Supervising Judge","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90017,"Diversity and Community Relations Magistrates","2023-10-18",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90018,"Insolvency Rules Committee","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90019,"Lord Lieutenant","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90020,"Boundary Commission for Wales – Deputy Chair","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90021,"Chairman of Cross-Jurisdictional Courses","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90022,"Chair of the Land Registration Rule Committee","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90023,"Chancery Supervising Judge","2023-03-30","2023-07-04","2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90024,"Diversity Mentors","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90025,"International Committee Chairman","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90026,"British Judge International Criminal Court","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90027,"Chairman of the Judicial College","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90028,"Chief Coroner","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90029,"Diversity Role Models","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
