id,name,jurisdiction_id,integration_code,start_date,end_date,created_at,updated_at,
1,Region,30,COURTS_REGION,30/03/2023,,2023-05-19T11:18:46Z,2024-05-29T00:03:19Z,
2,Court,30,COURTS_COURT_NAME,30/03/2023,,2023-05-19T11:18:46Z,2024-05-29T00:03:19Z,
3,Tier,34,TRIBS_TIER,30/03/2023,,2023-05-19T11:18:46Z,2024-05-29T00:03:19Z,
4,Chamber,34,TRIBS_CHAMBER,30/03/2023,,2023-05-19T11:18:46Z,2024-05-29T00:03:19Z,
5,Location,34,TRIBS_LOCATION,30/03/2023,,2023-05-19T11:18:46Z,2024-05-29T00:03:19Z,
6,Region,84,MAGS_REGION,30/03/2023,,2023-05-19T11:18:46Z,2024-05-29T00:03:19Z,
7,AC,84,MAGS_AC,30/03/2023,,2023-05-19T11:18:46Z,2024-05-29T00:03:19Z,
8,LJA,84,MAGS_AC_LJA,30/03/2023,,2023-05-19T11:18:46Z,2024-05-29T00:03:19Z,
9,Court Name,84,MAGS_AC_COURT_NAME,30/03/2023,,2023-05-19T11:18:46Z,2024-05-29T00:03:19Z,
10,Area or Parent AC,84,MAGS_AREA_OR_PARENT_AC,30/03/2023,,2023-05-19T11:18:46Z,2024-05-29T00:03:19Z,
11,AC,84,MAGS_AREA_AC,30/03/2023,,2023-05-19T11:18:46Z,2024-05-29T00:03:19Z,
12,Subcommittee,84,MAGS_AREA_SUBCOMMITTEE,30/03/2023,,2023-05-19T11:18:46Z,2024-05-29T00:03:19Z,
13,Committee,84,MAGS_AREA_COMMITTEE,30/03/2023,,2023-05-19T11:18:46Z,2024-05-29T00:03:19Z,
14,Region,86,CORONERS_REGION,30/03/2023,,2023-05-19T11:18:46Z,2024-05-29T00:03:19Z,
15,Local Authority,86,CORONERS_LOCAL_AUTH,30/03/2023,,2023-05-19T11:18:46Z,2024-05-29T00:03:19Z,
16,Geographic Area,86,CORONERS_AREA,30/03/2023,,2023-05-19T11:18:46Z,2024-05-29T00:03:19Z,
