id,name,ticket_category_id,start_date,end_date,created_at,updated_at
289,"Welsh Language",88,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
290,"Administrative Court",31,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
291,"Admiralty - KBD",31,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
292,"Chancery",31,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
293,"Chancery Business in the County Court",31,"2023-03-30","2024-01-14","2023-05-19T11:18:43Z","2024-01-16T00:02:27Z"
294,"Civil Authorisation",31,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
295,"Commercial",31,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
296,"Companies Court",31,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
298,"Mercantile - KBD",31,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
299,"Patents",31,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
300,"Section 9(1) Chancery",31,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
301,"Section 9(1) Kings Bench",31,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
302,"Technology and Construction Court",31,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
303,"Appeals in Crown Court",32,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
304,"Attempted Murder",32,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
305,"Central Criminal Court",32,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
306,"Criminal Authorisation",32,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
307,"Court of Appeal Criminal Division",32,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
308,"Extradition",32,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
309,"Murder",32,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
310,"Terrorism",32,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
311,"Serious Sexual Offences",32,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
312,"Serious Sexual Offences - Youth Court",32,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
313,"Court of Protection",33,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
314,"Financial Remedy Appeals",33,"2023-03-30","2025-04-09","2023-05-19T11:18:43Z","2025-04-10T00:00:44Z"
315,"Private Law",33,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
316,"Public Law",33,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
317,"Section 9-1 Family",33,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
318,"Agricultural Land and Drainage",42,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
319,"Agricultural Lands Tribunal Wales",50,"2023-03-30",,"2023-05-19T11:18:43Z","2024-08-02T00:02:45Z"
320,"Asylum Support",36,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
321,"Care Standards",37,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
322,"Charity",39,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
323,"Claims Management Services",39,"2023-03-30","2024-01-24","2023-05-19T11:18:43Z","2024-01-26T00:02:23Z"
324,"Community Rights to Bid",42,"2023-03-30","2023-11-27","2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
325,"Competition Appeal Tribunal",52,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
326,"Consumer Credit",39,"2023-03-30","2024-01-24","2023-05-19T11:18:43Z","2024-01-26T00:02:23Z"
327,"Copyright Tribunal",54,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
328,"Criminal Injuries Compensations",36,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
329,"Design Tribunal",55,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
330,"Direct and Indirect Taxation",40,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:01Z"
331,"Environment",39,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
332,"Estate Agents",39,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
333,"Food",39,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
334,"Gambling",39,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
335,"Immigration Services",39,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
336,"Information Rights",39,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
337,"Judicial Review - England and Wales",47,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
338,"Judicial Review - Northern Ireland",47,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
339,"Judicial Review - Scotland",47,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
340,"Land Registration",42,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
341,"Local Government Standards - England",39,"2023-03-30","2025-09-18","2023-05-19T11:18:43Z","2025-09-19T00:00:11Z"
342,"Mental Health",37,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
343,"Mental Health Tribunal Wales",67,"2023-03-30",,"2023-05-19T11:18:43Z","2024-08-02T00:02:45Z"
344,"Motor Insurers Bureau",68,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
345,"MP's Expenses",40,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
346,"National Security",39,"2023-03-30","2023-03-30","2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
347,"Pensions Regulations",39,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
348,"Professional Regulations",39,"2023-03-30","2024-05-20","2023-05-19T11:18:43Z","2024-05-22T00:02:48Z"
349,"Primary Health List",37,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
350,"Police Appeals Tribunal",71,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
351,"Race Panel",39,"2023-03-30","2023-03-30","2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
352,"Reinstatement Committee",73,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
353,"Reserve Forces",41,"2023-03-30","2023-11-26","2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
354,"Residential Property",42,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
355,"Residential Property Tribunal Wales",75,"2023-03-30",,"2023-05-19T11:18:43Z","2026-02-14T01:00:20Z"
356,"Restricted Patients Panel",37,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
357,"Social Security and Child Support",36,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
358,"Special Educational Needs and Disability",37,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
359,"Trademark Tribunals",80,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
360,"Transport",39,"2023-03-30",,"2023-05-19T11:18:43Z","2024-08-02T00:02:45Z"
361,"Valuation Tribunal England",82,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
362,"02 - Child Support",36,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
364,"01 - Social Security",36,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
365,"03 - Disability Living Allowance",36,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
366,"04 - Incapacity Benefit Employment Support",36,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
367,"05 - Industrial Injuries",36,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
368,"00 - Interlocutory",36,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
369,"07 - Vaccine Damage",36,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
371,"Upper - Administrative Appeals",44,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
372,"Upper - Immigration and Asylum",45,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
373,"First Tier - Immigration and Asylum",38,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
374,"First Tier - Health, Education and Social Care",37,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
375,"First Tier - Property",42,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
376,"First Tier - Social Entitlement",36,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
377,"First Tier - Tax",40,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
378,"First Tier - War Pensions and Armed Forces Compensation",41,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
379,"Employment Appeal Tribunal",58,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
380,"Employment Tribunal (Scotland)",57,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
381,"Others - Gender Recognition Panel",59,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
382,"Others - Pathogens Access Appeals Commission",69,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
383,"Others - Proscribed Organisations Appeal Commission",72,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
384,"Others - Special Immigration Appeals Commission",78,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
385,"Upper - Lands",46,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
386,"Upper - Tax and Chancery",47,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
392,"First Tier - General Regulatory",39,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
393,"Section 9(1) Kings Bench - Admin ONLY",31,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
394,"Pool of Judges",32,"2023-03-30","2024-02-26","2023-05-19T11:18:43Z","2024-02-28T00:02:08Z"
395,"Freezing Orders in the County Court",31,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
396,"IPEC",31,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
397,"S9(4) Appointment - Chancery",31,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
398,"S9(4) Appointment - Kings Bench",31,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
400,"S9(4) Appointment - Family",33,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
401,"Murder - Deputy Circuit Judge Only",32,"2023-03-30","2024-01-16","2023-05-19T11:18:43Z","2024-01-18T00:02:18Z"
402,"Ancillary Relief Appeals",33,"2023-03-30","2025-02-24","2023-05-19T11:18:43Z","2025-02-26T01:00:46Z"
403,"District Judge in the County Court",31,"2023-03-30","2025-02-24","2023-05-19T11:18:43Z","2025-02-25T01:00:44Z"
404,"Ordinary Planning",31,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
405,"Direct Recruitment to Family",85,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
406,"London Circuit Commercial Court",31,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
407,"Circuit Commercial Court",31,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
408,"Significant Planning",31,"2023-03-30",,"2023-05-19T11:18:43Z","2023-12-21T00:02:02Z"
